date,vegetable,season,month,Temp,disaster,condition,Price
2024-01-01,potato,winter,jan,15,no,average,72.8
2024-01-01,tomato,winter,jan,15,no,average,47.2
2024-01-01,peas,winter,jan,15,no,average,43.2
2024-01-01,pumkin,winter,jan,15,no,average,28.0
2024-01-01,cucumber,winter,jan,15,no,average,65.6
2024-01-01,pointed gourd,winter,jan,15,no,scrap,36.0
2024-01-01,raddish,winter,jan,15,yes,average,48.96
2024-01-01,bitter gourd,winter,jan,15,no,fresh,70.0
2024-01-01,onion,winter,jan,15,no,fresh,47.0
2024-01-01,garlic,winter,jan,15,no,fresh,38.0
2024-01-01,cabbage,winter,jan,15,no,fresh,41.0
2024-01-01,cauliflower,winter,jan,15,no,average,25.6
2024-01-01,chilly,winter,jan,15,yes,average,60.48
2024-01-01,okra,winter,jan,15,no,fresh,57.0
2024-01-01,brinjal,winter,jan,15,no,scrap,37.5
2024-01-01,ginger,winter,jan,15,no,fresh,52.0
2024-01-02,potato,winter,jan,15,no,fresh,28.0
2024-01-02,tomato,winter,jan,15,no,fresh,77.0
2024-01-02,peas,winter,jan,15,no,fresh,19.0
2024-01-02,pumkin,winter,jan,15,no,fresh,89.0
2024-01-02,cucumber,winter,jan,15,no,scrap,8.0
2024-01-02,pointed gourd,winter,jan,15,yes,fresh,34.8
2024-01-02,raddish,winter,jan,15,no,fresh,56.0
2024-01-02,bitter gourd,winter,jan,15,no,average,8.8
2024-01-02,onion,winter,jan,15,no,scrap,41.5
2024-01-02,garlic,winter,jan,15,no,scrap,45.0
2024-01-02,cabbage,winter,jan,15,no,fresh,63.0
2024-01-02,cauliflower,winter,jan,15,no,fresh,89.0
2024-01-02,chilly,winter,jan,15,no,fresh,29.0
2024-01-02,okra,winter,jan,15,yes,scrap,42.0
2024-01-02,brinjal,winter,jan,15,no,fresh,71.0
2024-01-02,ginger,winter,jan,15,no,average,53.6
2024-01-03,potato,winter,jan,15,no,scrap,35.5
2024-01-03,tomato,winter,jan,15,no,scrap,25.0
2024-01-03,peas,winter,jan,15,no,fresh,97.0
2024-01-03,pumkin,winter,jan,15,no,average,56.0
2024-01-03,cucumber,winter,jan,15,no,average,40.0
2024-01-03,pointed gourd,winter,jan,15,no,fresh,67.0
2024-01-03,raddish,winter,jan,15,no,fresh,64.0
2024-01-03,bitter gourd,winter,jan,15,yes,fresh,76.8
2024-01-03,onion,winter,jan,15,no,fresh,84.0
2024-01-03,garlic,winter,jan,15,no,fresh,48.0
2024-01-03,cabbage,winter,jan,15,no,scrap,23.0
2024-01-03,cauliflower,winter,jan,15,yes,average,92.16
2024-01-03,chilly,winter,jan,15,no,fresh,37.0
2024-01-03,okra,winter,jan,15,no,scrap,29.5
2024-01-03,brinjal,winter,jan,15,no,fresh,45.0
2024-01-03,ginger,winter,jan,15,no,fresh,50.0
2024-01-04,potato,winter,jan,15,no,fresh,31.0
2024-01-04,tomato,winter,jan,15,no,fresh,70.0
2024-01-04,peas,winter,jan,15,no,average,41.6
2024-01-04,pumkin,winter,jan,15,no,fresh,54.0
2024-01-04,cucumber,winter,jan,15,no,fresh,11.0
2024-01-04,pointed gourd,winter,jan,15,no,fresh,12.0
2024-01-04,raddish,winter,jan,15,no,fresh,30.0
2024-01-04,bitter gourd,winter,jan,15,no,fresh,95.0
2024-01-04,onion,winter,jan,15,no,average,16.0
2024-01-04,garlic,winter,jan,15,yes,fresh,56.4
2024-01-04,cabbage,winter,jan,15,no,fresh,60.0
2024-01-04,cauliflower,winter,jan,15,no,scrap,14.5
2024-01-04,chilly,winter,jan,15,no,fresh,73.0
2024-01-04,okra,winter,jan,15,yes,average,74.88
2024-01-04,brinjal,winter,jan,15,no,average,27.2
